Country Name,Country Code,Group,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Austria,AUT,"Population ages 0-14, male",684952,681977,680364,678306,673977,668212,658966,648489,638708,631065,624798,620956,619866,621481,626489,636364,644272,651075,657295,662503,667849
Austria,AUT,"Population ages 0-14, female",650327,647457,646046,644231,640152,635056,626500,616650,607306,599747,593828,590120,588833,589869,593860,601675,607706,612946,618036,622613,628165
Austria,AUT,"Population ages 15-64, female",2715032,2732017,2747006,2765341,2785700,2797470,2804531,2811157,2815808,2819083,2825603,2834977,2846832,2862646,2886703,2910090,2922118,2927605,2930798,2931577,2928255
Austria,AUT,"Population ages 15-64, male",2743864,2755707,2765301,2778775,2795313,2804354,2809870,2816039,2820940,2824953,2832408,2843311,2857718,2877576,2907318,2936493,2955757,2969088,2979921,2987777,2987449
Austria,AUT,"Population ages 65 and above, female",771578,776559,782426,791088,802472,815338,828830,843259,856718,868613,879603,890458,901862,914857,931088,942022,948516,953036,958728,967120,981075
Austria,AUT,"Population ages 65 and above, male",476540,488241,500280,514225,530215,548210,566791,585902,603844,619942,635402,650168,664713,679926,697241,710023,719197,726772,735141,745274,763487
Azerbaijan,AZE,"Population ages 0-14, male",1266228,1237199,1207979,1179500,1152394,1133813,1114912,1108272,1106542,1102584,1108410,1122158,1141727,1162950,1182734,1209112,1227657,1241004,1253698,1264702,1263830
Azerbaijan,AZE,"Population ages 0-14, female",1181380,1149522,1116218,1082247,1048744,1023662,997918,983478,974474,965003,965175,973808,989029,1006895,1024447,1048538,1067071,1081862,1096189,1108727,1111451
Azerbaijan,AZE,"Population ages 65 and above, female",287581,298717,308977,316464,320122,321355,319310,318182,316397,312345,312683,313635,315724,319887,326774,335056,346050,359715,376186,394897,417541
Azerbaijan,AZE,"Population ages 65 and above, male",204163,214386,223354,229637,232556,233057,230818,228953,226306,221709,221064,220544,220725,222589,226763,234391,244201,256083,270017,285535,305000
"Bahamas, The",BHS,"Population ages 0-14, male",44021,44306,44772,45286,45805,46218,46778,47285,47601,47674,47475,47014,46374,45729,45190,44548,44164,43927,43632,43204,43053
"Bahamas, The",BHS,"Population ages 0-14, female",43471,43808,44311,44885,45509,45933,46555,47169,47599,47748,47515,46943,46131,45292,44583,43709,43158,42786,42348,41743,41479
"Bahamas, The",BHS,"Population ages 15-64, female",102186,104250,106320,108478,110700,113249,115703,118128,120536,122895,125162,127406,129641,131809,133875,136083,138022,139763,141482,143215,144514
"Bahamas, The",BHS,"Population ages 15-64, male",96304,98073,99949,101967,104061,106268,108392,110535,112720,114924,117089,119248,121400,123498,125514,127598,129457,131173,132877,134614,135985
"Bahamas, The",BHS,"Population ages 65 and above, female",9773,10066,10345,10607,10866,11151,11440,11732,12015,12286,12635,12978,13334,13714,14134,14654,15185,15764,16426,17197,18004
"Bahamas, The",BHS,"Population ages 65 and above, male",6863,7154,7426,7670,7907,8213,8519,8831,9129,9409,9707,9992,10282,10583,10904,11331,11763,12222,12721,13275,13879
Bahrain,BHR,"Population ages 0-14, male",104699,106365,109245,113509,118954,119997,122507,125685,128167,129007,133445,135819,137814,141187,146896,149286,152057,154722,157159,159244,161245
Bahrain,BHR,"Population ages 0-14, female",98211,100077,102433,105515,109423,111808,114918,118267,121114,123032,126698,129586,132294,135417,139131,141735,144606,147405,149846,151845,154081
Bahrain,BHR,"Population ages 15-64, female",188434,198530,209466,221754,235701,254072,274054,294449,313684,330589,341715,350238,356947,363342,370741,381259,392976,405424,417629,428833,438061
Bahrain,BHR,"Population ages 15-64, male",289528,312934,339585,370187,405162,451669,502406,552945,597552,632429,648912,655664,658303,665429,683198,720084,768976,823821,875215,916543,944381
Bahrain,BHR,"Population ages 65 and above, female",8216,8538,8931,9386,9893,10476,11159,11886,12579,13192,13703,14088,14419,14774,15225,15861,16645,17635,18892,20431,22278
Bahrain,BHR,"Population ages 65 and above, male",8462,8696,9048,9495,10024,10401,10880,11413,11979,12615,13680,14547,15252,15924,16662,17568,18817,20433,22423,24687,28249
Bangladesh,BGD,"Population ages 0-14, male",24201512,24310347,24379309,24400643,24368435,24377766,24336404,24258887,24168929,24082592,23926223,23789171,23658247,23516040,23355679,23195495,23019934,22838157,22664419,22504586,22350996
Bangladesh,BGD,"Population ages 0-14, female",23243105,23333388,23392080,23418829,23410517,23408112,23367278,23298862,23215287,23122275,22974868,22833971,22695206,22549510,22393138,22227798,22050648,21872927,21707562,21557302,21405357
Bangladesh,BGD,"Population ages 15-64, female",37569470,38566099,39566278,40556589,41531247,42432861,43326422,44215584,45107898,46011826,46942253,47865923,48793443,49741049,50714952,51694770,52700679,53707370,54681540,55605603,56470606
Bangladesh,BGD,"Population ages 15-64, male",39937379,40917506,41892291,42838162,43741407,44482064,45183061,45869498,46572888,47316700,48166330,49040218,49941512,50870213,51818200,52745990,53691198,54633816,55546280,56413569,57211298
Bangladesh,BGD,"Population ages 65 and above, female",2458667,2561165,2662942,2766137,2872147,2992670,3110843,3224006,3329318,3425640,3546319,3661946,3768163,3858606,3931040,4005673,4065026,4119299,4183280,4267370,4395825
Bangladesh,BGD,"Population ages 65 and above, male",2678576,2789572,2898698,3006069,3111752,3227681,3336373,3437327,3530475,3616400,3717141,3814504,3904842,3981967,4043278,4107425,4157936,4205144,4263092,4340953,4469412
Barbados,BRB,"Population ages 0-14, male",29627,29355,29159,28985,28821,28714,28606,28519,28470,28440,28110,27796,27452,27062,26626,26186,25750,25316,24894,24484,24191
Barbados,BRB,"Population ages 0-14, female",28822,28562,28370,28187,27997,27854,27699,27544,27405,27262,26973,26658,26307,25929,25537,25118,24744,24395,24043,23681,23427
Barbados,BRB,"Population ages 15-64, female",93268,93867,94393,94932,95515,96060,96635,97164,97552,97757,98096,98305,98423,98485,98507,98531,98480,98358,98156,97873,97455
Barbados,BRB,"Population ages 15-64, male",87642,88179,88639,89098,89584,90003,90447,90853,91138,91285,91703,92018,92272,92513,92754,92969,93146,93276,93344,93337,93189
Barbados,BRB,"Population ages 65 and above, female",19504,19673,19832,19994,20162,20392,20647,20943,21296,21726,22041,22395,22795,23242,23735,24247,24782,25362,26009,26733,27477
Barbados,BRB,"Population ages 65 and above, male",13631,13787,13938,14087,14241,14452,14667,14923,15246,15661,16064,16526,17045,17594,18168,18747,19327,19933,20575,21263,21969
Belarus,BLR,"Population ages 0-14, male",913271,874801,836362,802380,774793,754791,739889,730374,726018,726217,732678,743624,758388,774845,791499,803971,811380,815846,821270,827140,824672
Belarus,BLR,"Population ages 0-14, female",864308,827102,790627,758628,732592,713957,700046,691084,686788,686470,692828,702777,716033,731179,747211,759795,769003,776091,783516,789997,789704
